,shipment_id,send_timestamp,pick_up_point,drop_off_point,source_country,destination_country,freight_cost,gross_weight,shipment_charges,shipment_mode,shipping_company,selected,shipping_time
22,S005736,2019-10-04 14:32:55,A,Y,GB,IN,86.42,100,0.75,Air,SC3,Y,5.0037
23,S005737,2019-11-20 14:11:58,A,Y,GB,IN,93,168,0.75,Air,SC3,Y,5.23125
24,S005738,2020-01-07 11:29:34,A,Y,GB,IN,94.66,380,1.05,Air,SC2,Y,5.23368
25,S006706,2019-03-08 10:46:18,A,Y,GB,IN,91.76,1096,0.75,Air,SC3,Y,5.28426
26,S006736,2019-10-04 14:56:40,A,Y,GB,IN,86.7,355,0.9,Ocean,SC1,Y,21.22685
27,S006739,2020-04-11 13:04:21,A,Y,GB,IN,94.75,60,1.05,Air,SC2,Y,5.39155
28,S007706,2019-03-08 10:46:32,A,Y,GB,IN,91.14302174,115,0.75,Air,SC3,Y,5.07153
29,S007718,2019-05-27 11:58:19,A,Y,GB,IN,87.55,228.7,0.75,Air,SC3,Y,5.07674
30,S007734,2019-09-06 18:39:38,A,Y,GB,IN,87.46,350,1.05,Air,SC2,Y,5.34722
31,S007738,2020-01-07 13:18:31,A,Y,GB,IN,94.2,280,0.9,Ocean,SC1,Y,20.54525
32,S007739,2020-04-11 13:36:29,A,Y,GB,IN,94.99,46.5,1.05,Air,SC2,Y,5.28958
33,S008717,2019-05-18 11:22:36,A,Y,GB,IN,89.73,1456,0.75,Air,SC3,Y,5.02396
34,S008734,2019-09-06 22:24:00,A,Y,GB,IN,87.65,505,0.9,Ocean,SC1,Y,34.33333
35,S008736,2019-10-04 15:32:37,A,Y,GB,IN,86.7,75,0.9,Ocean,SC1,Y,21.4765
36,S008738,2020-01-07 13:28:10,A,Y,GB,IN,94.2,755,0.9,Ocean,SC1,Y,10.61227
37,S009710,2019-04-04 20:47:03,A,Y,GB,IN,89.8,1698,0.9,Ocean,SC1,Y,23.66007
38,S009717,2019-05-18 11:34:23,A,Y,GB,IN,89.72,1006,0.75,Air,SC3,Y,5.40799
39,S009734,2019-09-07 00:23:07,A,Y,GB,IN,87.31,92,0.75,Air,SC3,Y,5.28252
40,S009736,2019-10-04 15:33:47,A,Y,GB,IN,86.9125,110,0.9,Ocean,SC1,Y,21.48461
41,S009738,2020-01-07 13:49:58,A,Y,GB,IN,94.45870432,60,1.05,Air,SC2,Y,5.28426
42,S009739,2020-04-11 14:05:25,A,Y,GB,IN,94.61,269.5,0.75,Air,SC3,Y,5.00903
43,S010710,2019-04-04 21:05:35,A,Y,GB,IN,89.8,300,0.9,Ocean,SC1,Y,13.78877
44,S010722,2019-06-23 12:00:48,A,Y,GB,IN,87.95,500,0.75,Air,SC3,Y,5.35312
45,S010734,2019-09-07 00:30:37,A,Y,GB,IN,87.82,29,1.05,Air,SC2,Y,5.18044
46,S010735,2019-09-13 09:52:55,A,Y,GB,IN,87.66,120,0.9,Ocean,SC1,Y,9.11748
47,S010736,2019-10-04 15:34:09,A,Y,GB,IN,86.96,65,0.75,Air,SC3,Y,5.30093
48,S011736,2019-10-04 15:49:01,A,Y,GB,IN,86.95,355,0.9,Ocean,SC1,Y,31.59039
49,S011737,2019-11-21 07:02:44,A,Y,GB,IN,92.75,205,0.75,Air,SC3,Y,5.10301
50,S011738,2020-01-07 14:55:40,A,Y,GB,IN,94.22,300,0.75,Air,SC3,Y,5.37141
51,S012703,2019-02-21 06:28:32,A,Y,GB,IN,92.94,600,0.75,Air,SC3,Y,5.00799
52,S012726,2019-07-19 16:09:22,A,Y,GB,IN,85.85,397,0.9,Ocean,SC1,Y,11.73171
53,S012736,2019-10-04 16:04:30,A,Y,GB,IN,86.95625398,69,0.75,Air,SC3,Y,5.1515
54,S012738,2020-01-07 15:02:43,A,Y,GB,IN,94.49,300,0.75,Air,SC3,Y,5.24306
55,S012739,2020-04-12 04:49:52,A,Y,GB,IN,94.65,103.5,0.75,Air,SC3,Y,5.214
56,S013703,2019-02-21 08:00:03,A,Y,GB,IN,92.88,1006,1.05,Air,SC2,Y,5.3015
57,S013736,2019-10-04 16:49:08,A,Y,GB,IN,86.95,121,0.9,Ocean,SC1,Y,12.00787
58,S013739,2020-04-12 10:27:45,A,Y,GB,IN,94.59,153.5,1.05,Air,SC2,Y,5.41852
59,S014719,2019-06-02 11:26:45,A,Y,GB,IN,87.25,205,0.9,Ocean,SC1,Y,19.7691
60,S014730,2019-08-13 13:31:23,A,Y,GB,IN,85.75,10,0.75,Air,SC3,Y,5.18507
61,S014736,2019-10-04 16:56:06,A,Y,GB,IN,86.95,1206,0.9,Ocean,SC1,Y,32.05625
62,S014737,2019-11-21 10:09:12,A,Y,GB,IN,92.84,217.4,0.75,Air,SC3,Y,5.17616
63,S014739,2020-04-12 11:34:10,A,Y,GB,IN,94.1,53.5,0.75,Air,SC3,Y,5.30903
64,S015702,2019-02-14 05:55:30,A,Y,GB,IN,90.9403,128,0.9,Ocean,SC1,Y,17.46875
65,S015704,2019-02-26 20:38:37,A,Y,GB,IN,93.5,305,0.9,Ocean,SC1,Y,13.6015
66,S015710,2019-04-05 08:43:34,A,Y,GB,IN,89.791,100,1.05,Air,SC2,Y,5.13125
67,S015725,2019-07-12 16:14:25,A,Y,GB,IN,85.81,105,0.75,Air,SC3,Y,5.03472
68,S015738,2020-01-07 17:38:07,A,Y,GB,IN,94.63,112,0.75,Air,SC3,Y,5.17488
69,S015739,2020-04-12 11:36:32,A,Y,GB,IN,94.79,53.5,0.75,Air,SC3,Y,5.23484
70,S016702,2019-02-14 06:06:22,A,Y,GB,IN,90.9403,1006,0.9,Ocean,SC1,Y,7.54421
71,S016703,2019-02-21 09:08:07,A,Y,GB,IN,92.5,225,0.9,Ocean,SC1,Y,28.80637
72,S016704,2019-02-27 00:03:35,A,Y,GB,IN,93.87,275,0.9,Ocean,SC1,Y,25.02488
73,S016717,2019-05-18 11:54:53,A,Y,GB,IN,89.2,1466,1.05,Air,SC2,Y,5.04861
74,S016736,2019-10-04 20:34:24,A,Y,GB,IN,86.95,869,0.9,Ocean,SC1,Y,33.57222
75,S016739,2020-04-12 12:32:44,A,Y,GB,IN,94.5,315,1.05,Air,SC2,Y,5.07558
76,S017702,2019-02-14 06:06:38,A,Y,GB,IN,90.9403,1206,0.9,Ocean,SC1,Y,7.54606
77,S017703,2019-02-21 09:22:24,A,Y,GB,IN,92.5,555,0.9,Ocean,SC1,Y,28.90556
78,S017736,2019-10-04 20:35:53,A,Y,GB,IN,86.56,500,1.05,Air,SC2,Y,5.27245
79,S017739,2020-04-12 13:30:52,A,Y,GB,IN,93.52,100,0.75,Air,SC3,Y,5.12882
80,S018702,2019-02-14 06:11:08,A,Y,GB,IN,90.9403,335,0.9,Ocean,SC1,Y,27.57731
81,S018703,2019-02-21 09:27:52,A,Y,GB,IN,92.5,555,1.05,Air,SC2,Y,5.32083
82,S018739,2020-04-13 08:12:00,A,Y,GB,IN,94.25,355,0.75,Air,SC3,Y,5.31748
83,S019721,2019-06-15 10:36:02,A,Y,GB,IN,87.4,505,0.9,Ocean,SC1,Y,19.4169
84,S019736,2019-10-05 00:12:21,A,Y,GB,IN,86.95,780,0.9,Ocean,SC1,Y,5.08576
85,S019738,2020-01-07 19:41:36,A,Y,GB,IN,93.85,1065.54,0.9,Ocean,SC1,Y,33.20556
86,S019739,2020-04-13 08:46:24,A,Y,GB,IN,94.2,103.5,1.05,Air,SC2,Y,5.29815
87,S020704,2019-02-27 06:33:39,A,Y,GB,IN,93.5661,255,0.9,Ocean,SC1,Y,7.73368
88,S020708,2019-03-23 09:55:40,A,Y,GB,IN,90.96,1006,0.9,Ocean,SC1,Y,9.13657
89,S020713,2019-04-26 11:02:37,A,Y,GB,IN,89.95,250,0.9,Ocean,SC1,Y,19.6015
90,S020723,2019-06-30 15:17:35,A,Y,GB,IN,87.67843842,235,0.9,Ocean,SC1,Y,21.37211
91,S020729,2019-08-07 11:09:44,A,Y,GB,IN,85.65,122,1.05,Air,SC2,Y,5.29838
92,S020736,2019-10-05 00:15:11,A,Y,GB,IN,86.95,780,0.9,Ocean,SC1,Y,5.10544
93,S020738,2020-01-08 00:39:16,A,Y,GB,IN,94.96,115,0.75,Air,SC3,Y,5.39456
94,S020739,2020-04-13 09:10:32,A,Y,GB,IN,93.8,1000,1.05,Air,SC2,Y,5.08044
95,S021736,2019-10-05 00:20:39,A,Y,GB,IN,86.95,780,0.9,Ocean,SC1,Y,25.1434
96,S021738,2020-01-08 01:13:39,A,Y,GB,IN,94.24,100,0.75,Air,SC3,Y,5.01123
97,S022702,2019-02-14 06:59:12,A,Y,GB,IN,91.59,237,0.75,Air,SC3,Y,5.39606
98,S022707,2019-03-15 13:20:27,A,Y,GB,IN,91.87,505,0.75,Air,SC3,Y,5.28218
99,S022712,2019-04-16 17:06:24,A,Y,GB,IN,90.45,68,0.9,Ocean,SC1,Y,12.12778
100,S022737,2019-11-21 13:42:40,A,Y,GB,IN,92.55,100,0.9,Ocean,SC1,Y,10.71296
101,S022738,2020-01-08 10:20:23,A,Y,GB,IN,93.59,100,0.9,Ocean,SC1,Y,29.30822
102,S023712,2019-04-16 19:02:57,A,Y,GB,IN,90.45,220,0.9,Ocean,SC1,Y,22.93715
103,S023735,2019-09-13 10:35:51,A,Y,GB,IN,88.29,290,0.75,Air,SC3,Y,5.24803
104,S023736,2019-10-05 08:39:54,A,Y,GB,IN,87.88,869,1.05,Air,SC2,Y,5.01377
105,S023739,2020-04-13 11:42:11,A,Y,GB,IN,94.2,130.89,1.05,Air,SC2,Y,5.1456
106,S024712,2019-04-16 19:46:32,A,Y,GB,IN,90.85,832.9,0.75,Air,SC3,Y,5.35428
107,S024736,2019-10-05 09:07:41,A,Y,GB,IN,87.24,120,0.75,Air,SC3,Y,5.31829
108,S025712,2019-04-16 20:08:36,A,Y,GB,IN,90.29,400,1.05,Air,SC2,Y,5.19479
109,S025723,2019-06-30 18:57:12,A,Y,GB,IN,87.97,400,0.75,Air,SC3,Y,5.4044
110,S025725,2019-07-12 17:38:11,A,Y,GB,IN,85.75,305,0.9,Ocean,SC1,Y,12.3485
111,S025737,2019-11-21 16:42:52,A,Y,GB,IN,92.55,209,0.9,Ocean,SC1,Y,31.96435
112,S026712,2019-04-16 21:44:40,A,Y,GB,IN,90.6,255,0.9,Ocean,SC1,Y,34.06019
113,S026723,2019-06-30 19:18:53,A,Y,GB,IN,87.64,292,0.75,Air,SC3,Y,5.25312
114,S026736,2019-10-05 10:03:20,A,Y,GB,IN,86.66,260,0.9,Ocean,SC1,Y,19.18981
115,S026737,2019-11-21 16:45:06,A,Y,GB,IN,92.55,38,0.9,Ocean,SC1,Y,11.97986
116,S026738,2020-01-08 13:07:47,A,Y,GB,IN,93.46,100,0.75,Air,SC3,Y,5.03426
117,S027704,2019-02-27 09:50:08,A,Y,GB,IN,94.15,1006,0.9,Ocean,SC1,Y,19.09815
118,S027709,2019-03-29 15:59:35,A,Y,GB,IN,89.71,565,0.75,Air,SC3,Y,5.09317
119,S027712,2019-04-16 22:54:46,A,Y,GB,IN,90.94,1350,1.05,Air,SC2,Y,5.11725
120,S027723,2019-06-30 21:38:37,A,Y,GB,IN,87.4,350,1.05,Air,SC2,Y,5.26528
121,S027737,2019-11-21 17:41:58,A,Y,GB,IN,92.1708296,325,0.75,Air,SC3,Y,5.41204
122,S028712,2019-04-17 07:42:30,A,Y,GB,IN,90.56,1006,1.05,Air,SC2,Y,5.125
123,S028726,2019-07-20 07:33:50,A,Y,GB,IN,85.7,1506,0.9,Ocean,SC1,Y,18.15162
124,S028736,2019-10-05 11:02:09,A,Y,GB,IN,87.23791165,355,1.05,Air,SC2,Y,5.17535
125,S028738,2020-01-08 13:41:06,A,Y,GB,IN,93.65,166.7,1.05,Air,SC2,Y,5.42049
126,S029723,2019-06-30 21:51:04,A,Y,GB,IN,86.81,230.5,0.9,Ocean,SC1,Y,24.10463
127,S029726,2019-07-20 08:35:01,A,Y,GB,IN,85.65,505,0.9,Ocean,SC1,Y,8.5765
128,S029736,2019-10-05 11:10:35,A,Y,GB,IN,87.36,355,0.75,Air,SC3,Y,5.136
129,S029737,2019-11-21 20:30:51,A,Y,GB,IN,92.55,1087,1.05,Air,SC2,Y,5.36354
130,S029738,2020-01-08 13:43:13,A,Y,GB,IN,93.05,25,0.75,Air,SC3,Y,5.14236
131,S030702,2019-02-14 07:24:03,A,Y,GB,IN,91.63,806,0.75,Air,SC3,Y,5.36979
132,S030714,2019-05-01 16:12:36,A,Y,GB,IN,90.22,555,0.75,Air,SC3,Y,5.03461
133,S030736,2019-10-05 11:10:47,A,Y,GB,IN,87.61,1156,0.75,Air,SC3,Y,5.03264
134,S030737,2019-11-21 22:20:23,A,Y,GB,IN,92.55,55,0.9,Ocean,SC1,Y,24.30822
135,S030738,2020-01-08 13:45:58,A,Y,GB,IN,93.26,214.5,0.9,Ocean,SC1,Y,10.73588
136,S031702,2019-02-14 07:27:06,A,Y,GB,IN,91.21,200,0.75,Air,SC3,Y,5.41019
137,S031706,2019-03-08 11:44:15,A,Y,GB,IN,91.38,265,1.05,Air,SC2,Y,5.25694
138,S031726,2019-07-20 08:48:56,A,Y,GB,IN,85.96,505,0.75,Air,SC3,Y,5.32604
139,S031736,2019-10-05 11:14:06,A,Y,GB,IN,87.53,150,1.05,Air,SC2,Y,5.18137
140,S031737,2019-11-21 22:24:26,A,Y,GB,IN,92.93,55,0.75,Air,SC3,Y,5.09271
141,S031738,2020-01-08 14:31:47,A,Y,GB,IN,93.26,107.23,0.9,Ocean,SC1,Y,21.05405
142,S031739,2020-04-14 08:07:41,A,Y,GB,IN,94.86,1000,0.75,Air,SC3,Y,5.17616
143,S032228,2019-02-14 06:13:48,A,Y,GB,IN,90.9403,115.21,0.9,Ocean,SC1,Y,27.59583
144,S032723,2019-07-01 02:26:46,A,Y,GB,IN,86.8943392,24,0.75,Air,SC3,Y,5.17616
145,S032737,2019-11-22 09:32:48,A,Y,GB,IN,92.67,505,0.75,Air,SC3,Y,5.339
146,S032738,2020-01-08 15:38:27,A,Y,GB,IN,93.7,530,0.9,Ocean,SC1,Y,11.51701
147,S032739,2020-04-14 10:12:42,A,Y,GB,IN,94.95,455,0.75,Air,SC3,Y,5.10613
148,S033727,2019-07-27 14:43:36,A,Y,GB,IN,85.07,205,1.05,Air,SC2,Y,5.07199
149,S033736,2019-10-05 12:56:08,A,Y,GB,IN,87.27,900,0.75,Air,SC3,Y,5.27269
150,S033737,2019-11-22 10:48:47,A,Y,GB,IN,92.44,1600,1.05,Air,SC2,Y,5.15336
151,S033738,2020-01-08 16:25:42,A,Y,GB,IN,93.56,100,0.75,Air,SC3,Y,5.11262
152,S034723,2019-07-01 03:29:23,A,Y,GB,IN,86.81,116,0.9,Ocean,SC1,Y,16.45405
153,S035706,2019-03-08 11:47:37,A,Y,GB,IN,91.55,405,0.75,Air,SC3,Y,5.23935
154,S035716,2019-05-12 12:43:44,A,Y,GB,IN,90.39357069,146.8,1.05,Air,SC2,Y,5.24317
155,S035723,2019-07-01 07:33:09,A,Y,GB,IN,87.72,74,0.75,Air,SC3,Y,5.38727
156,S035728,2019-08-02 16:35:04,A,Y,GB,IN,84.63,755,0.75,Air,SC3,Y,5.33171
157,S035736,2019-10-05 18:07:46,A,Y,GB,IN,87.05,200,0.75,Air,SC3,Y,5.35463
158,S035737,2019-11-22 12:52:19,A,Y,GB,IN,92.46,766,0.75,Air,SC3,Y,5.24618
159,S035739,2020-04-14 11:46:17,A,Y,GB,IN,94.95,219.5,1.05,Air,SC2,Y,5.09294
160,S036723,2019-07-01 07:40:58,A,Y,GB,IN,87.69,2008,1.05,Air,SC2,Y,5.1934
161,S036737,2019-11-22 14:07:35,A,Y,GB,IN,92.7,114,0.75,Air,SC3,Y,5.22755
162,S036738,2020-01-08 22:58:28,A,Y,GB,IN,93.7,385,0.9,Ocean,SC1,Y,34.57269
163,S037723,2019-07-01 08:08:05,A,Y,GB,IN,86.4607,200,0.9,Ocean,SC1,Y,18.38947
164,S037725,2019-07-13 09:13:08,A,Y,GB,IN,85.85,475,0.9,Ocean,SC1,Y,8.8412
165,S037726,2019-07-20 09:18:06,A,Y,GB,IN,85.95,405,0.9,Ocean,SC1,Y,8.87569
166,S037736,2019-10-06 07:41:51,A,Y,GB,IN,87.8,305,0.75,Air,SC3,Y,5.22384
167,S037737,2019-11-22 14:54:44,A,Y,GB,IN,92.95,114,1.05,Air,SC2,Y,5.36829
168,S037738,2020-01-09 07:25:12,A,Y,GB,IN,93.3,1100,0.75,Air,SC3,Y,5.3662
169,S038702,2019-02-14 09:16:22,A,Y,GB,IN,90.98,11.11,0.75,Air,SC3,Y,5.36528
170,S038728,2019-08-02 16:39:25,A,Y,GB,IN,84.77,755,0.75,Air,SC3,Y,5.30532
171,S038736,2019-10-06 10:45:45,A,Y,GB,IN,86.66,58,0.9,Ocean,SC1,Y,19.48438
172,S038738,2020-01-09 07:33:35,A,Y,GB,IN,92.9693,999,1.05,Air,SC2,Y,5.2794
173,S039228,2019-02-14 06:59:41,A,Y,GB,IN,91.0048,16.24,0.9,Ocean,SC1,Y,27.91447
174,S039736,2019-10-06 12:29:15,A,Y,GB,IN,87.97,1106,1.05,Air,SC2,Y,5.02917
175,S039738,2020-01-09 08:54:10,A,Y,GB,IN,92.8979,540,1.05,Air,SC2,Y,5.30417
176,S040704,2019-02-27 10:18:21,A,Y,GB,IN,94.89,35,0.75,Air,SC3,Y,5.06007
177,S040736,2019-10-06 13:27:39,A,Y,GB,IN,87.74,349.4,0.75,Air,SC3,Y,5.39514
178,S040737,2019-11-22 19:02:18,A,Y,GB,IN,91.87,555,0.75,Air,SC3,Y,5.30567
179,S040738,2020-01-09 10:39:18,A,Y,GB,IN,93.92,1106,0.75,Air,SC3,Y,5.36736
180,S041737,2019-11-22 21:44:00,A,Y,GB,IN,91.21,220,0.9,Ocean,SC1,Y,34.05556
181,S041738,2020-01-09 10:50:35,A,Y,GB,IN,92.7066,225,0.9,Ocean,SC1,Y,19.51794
182,S042703,2019-02-21 10:53:09,A,Y,GB,IN,92.84,1088,1.05,Air,SC2,Y,5.35382
183,S042730,2019-08-13 14:41:44,A,Y,GB,IN,85.6,215,0.9,Ocean,SC1,Y,21.12315
184,S042736,2019-10-06 18:26:47,A,Y,GB,IN,87.19,2008,0.75,Air,SC3,Y,5.31065
185,S042737,2019-11-22 21:46:29,A,Y,GB,IN,91.41806364,220,0.75,Air,SC3,Y,5.15845
186,S042738,2020-01-09 11:26:29,A,Y,GB,IN,92.6,652.8,0.75,Air,SC3,Y,5.16817
187,S043702,2019-02-14 10:11:29,A,Y,GB,IN,90.71,505,0.75,Air,SC3,Y,5.04491
188,S043737,2019-11-23 06:35:18,A,Y,GB,IN,91.65,1306,0.9,Ocean,SC1,Y,7.74514
189,S044727,2019-07-27 15:47:12,A,Y,GB,IN,85.43,35,0.75,Air,SC3,Y,5.0625
190,S044736,2019-10-06 19:47:07,A,Y,GB,IN,87.73,361,0.75,Air,SC3,Y,5.05069
191,S044739,2020-04-14 17:34:26,A,Y,GB,IN,94.8,2000,0.75,Air,SC3,Y,5.18472
192,S046721,2019-06-15 12:10:47,A,Y,GB,IN,87.62,180,0.75,Air,SC3,Y,5.05521
193,S046738,2020-01-09 14:32:55,A,Y,GB,IN,92.85,1500,0.9,Ocean,SC1,Y,11.06192
194,S047737,2019-11-23 12:31:25,A,Y,GB,IN,91.36,251.8,0.9,Ocean,SC1,Y,30.21817
195,S047738,2020-01-09 14:56:58,A,Y,GB,IN,92.85,193.5,1.05,Air,SC2,Y,5.08692
196,S048735,2019-09-13 11:59:59,A,Y,GB,IN,88.39,2000,0.75,Air,SC3,Y,5.01192
197,S049706,2019-03-08 12:04:12,A,Y,GB,IN,91.5677311,280,0.75,Air,SC3,Y,5.3191
198,S049720,2019-06-08 10:34:59,A,Y,GB,IN,87.69,1250,0.75,Air,SC3,Y,5.06713
199,S049738,2020-01-09 16:44:19,A,Y,GB,IN,92.85,200,0.9,Ocean,SC1,Y,11.97442
200,S050707,2019-03-15 15:25:02,A,Y,GB,IN,91.42,831,0.75,Air,SC3,Y,5.03102
201,S050722,2019-06-23 22:23:15,A,Y,GB,IN,88.79,305,0.75,Air,SC3,Y,5.40266
202,S050728,2019-08-02 20:45:51,A,Y,GB,IN,83.61,599,0.9,Ocean,SC1,Y,13.65174
203,S050736,2019-10-07 09:58:57,A,Y,GB,IN,87.81,405,0.75,Air,SC3,Y,5.21447
204,S050738,2020-01-09 18:23:03,A,Y,GB,IN,92.56,250,0.9,Ocean,SC1,Y,22.66007
205,S050739,2020-04-15 12:48:55,A,Y,GB,IN,94.6626,325,1.05,Air,SC2,Y,5.18854
206,S051728,2019-08-02 22:41:52,A,Y,GB,IN,84.82,961,0.75,Air,SC3,Y,5.30891
207,S051738,2020-01-09 22:08:03,A,Y,GB,IN,92.56,200,0.9,Ocean,SC1,Y,14.22257
208,S051739,2020-04-16 07:47:37,A,Y,GB,IN,94.9759,855,1.05,Air,SC2,Y,5.16644
209,S052716,2019-05-12 13:51:21,A,Y,GB,IN,90.67,1506,0.75,Air,SC3,Y,5.10995
210,S052728,2019-08-02 23:50:51,A,Y,GB,IN,83.79,276,0.75,Air,SC3,Y,5.14792
211,S052736,2019-10-07 10:12:09,A,Y,GB,IN,87.16,295,1.05,Air,SC2,Y,5.11377
212,S052738,2020-01-09 23:27:25,A,Y,GB,IN,93.51,105,0.75,Air,SC3,Y,5.17986
213,S053728,2019-08-03 07:55:31,A,Y,GB,IN,84.73,65,1.05,Air,SC2,Y,5.01817
214,S053738,2020-01-10 07:58:24,A,Y,GB,IN,92.92,163,0.9,Ocean,SC1,Y,28.32222
215,S054728,2019-08-03 08:21:41,A,Y,GB,IN,84.64,242.5,0.75,Air,SC3,Y,5.36539
216,S054738,2020-01-10 08:10:46,A,Y,GB,IN,92.98,110,0.75,Air,SC3,Y,5.05463
217,S055716,2019-05-12 14:01:17,A,Y,GB,IN,90.3,1498,0.9,Ocean,SC1,Y,30.84225
218,S055736,2019-10-07 11:35:38,A,Y,GB,IN,87.8,121,0.75,Air,SC3,Y,5.2331
219,S055737,2019-11-24 02:13:20,A,Y,GB,IN,91.8,605,0.9,Ocean,SC1,Y,5.92593
220,S055738,2020-01-10 08:51:13,A,Y,GB,IN,92.81,535,0.75,Air,SC3,Y,5.19919
221,S056737,2019-11-24 10:22:32,A,Y,GB,IN,91.8,170,0.9,Ocean,SC1,Y,9.32315
222,S056738,2020-01-10 10:52:17,A,Y,GB,IN,92.93,32.59,1.05,Air,SC2,Y,5.21678
223,S057714,2019-05-01 17:13:18,A,Y,GB,IN,90.77,135,1.05,Air,SC2,Y,5.03356
224,S057716,2019-05-12 14:04:54,A,Y,GB,IN,90.3,1058,0.9,Ocean,SC1,Y,10.86736
225,S057719,2019-06-02 13:52:19,A,Y,GB,IN,86.81,175,0.9,Ocean,SC1,Y,30.77998
226,S057736,2019-10-07 14:53:48,A,Y,GB,IN,86.61,350,0.9,Ocean,SC1,Y,21.20694
227,S057738,2020-01-10 11:52:55,A,Y,GB,IN,91.9425,66,0.9,Ocean,SC1,Y,9.95081
228,S058709,2019-03-29 23:32:50,A,Y,GB,IN,88.86,214,0.9,Ocean,SC1,Y,34.81134
229,S058714,2019-05-01 17:22:52,A,Y,GB,IN,90.39,135,0.75,Air,SC3,Y,5.30336
230,S058716,2019-05-12 14:05:40,A,Y,GB,IN,89.86,289.4,0.9,Ocean,SC1,Y,10.87269
231,S058720,2019-06-08 10:48:38,A,Y,GB,IN,87.65,1404,0.9,Ocean,SC1,Y,29.5044
232,S058736,2019-10-07 15:19:09,A,Y,GB,IN,87.75,119.9,0.75,Air,SC3,Y,5.33738
233,S058737,2019-11-24 11:45:09,A,Y,GB,IN,91.8,1096,0.9,Ocean,SC1,Y,9.89688
234,S058738,2020-01-10 11:55:40,A,Y,GB,IN,91.49,28,0.75,Air,SC3,Y,5.32049
235,S059709,2019-03-30 07:45:50,A,Y,GB,IN,89.74,250,0.75,Air,SC3,Y,5.24398
236,S059711,2019-04-10 15:14:16,A,Y,GB,IN,89.46,100,0.9,Ocean,SC1,Y,11.34907
237,S059714,2019-05-01 18:23:25,A,Y,GB,IN,90.5,1356,0.9,Ocean,SC1,Y,32.66262
238,S059721,2019-06-15 13:01:24,A,Y,GB,IN,87.21,950,0.9,Ocean,SC1,Y,20.42639
239,S059727,2019-07-27 19:52:38,A,Y,GB,IN,85.05,380,0.75,Air,SC3,Y,5.32986
240,S059737,2019-11-24 14:37:41,A,Y,GB,IN,91.65,132,0.9,Ocean,SC1,Y,11.09502
241,S060714,2019-05-01 18:32:38,A,Y,GB,IN,90.8,748,1.05,Air,SC2,Y,5.31852
242,S060727,2019-07-27 20:07:11,A,Y,GB,IN,85.5,380,0.75,Air,SC3,Y,5.02234
243,S061727,2019-07-27 20:19:09,A,Y,GB,IN,85.43,380,1.05,Air,SC2,Y,5.13125
244,S061737,2019-11-24 16:12:48,A,Y,GB,IN,91.62,165,0.75,Air,SC3,Y,5.11539
